Estacion,Anio,Hora,Ruido_dB
Alameda,2023,00:00,69
Alameda,2023,01:00,67.8
Alameda,2023,02:00,66.9
Alameda,2023,03:00,66.1
Alameda,2023,04:00,66.2
Alameda,2023,05:00,67.6
Alameda,2023,06:00,69.3
Alameda,2023,07:00,70.3
Alameda,2023,08:00,70.8
Alameda,2023,09:00,70.4
Alameda,2023,10:00,70.6
Alameda,2023,11:00,70.7
Alameda,2023,12:00,71.7
Alameda,2023,13:00,71.6
Alameda,2023,14:00,71.8
Alameda,2023,15:00,71.3
Alameda,2023,16:00,71.6
Alameda,2023,17:00,71
Alameda,2023,18:00,71.1
Alameda,2023,19:00,71.3
Alameda,2023,20:00,71.6
Alameda,2023,21:00,70.6
Alameda,2023,22:00,70.4
Alameda,2023,23:00,70.1
Alameda,2024,00:00,68.7
Alameda,2024,01:00,67.4
Alameda,2024,02:00,66.1
Alameda,2024,03:00,65.6
Alameda,2024,04:00,66.1
Alameda,2024,05:00,67.3
Alameda,2024,06:00,69.3
Alameda,2024,07:00,70.2
Alameda,2024,08:00,70.8
Alameda,2024,09:00,70.7
Alameda,2024,10:00,70.9
Alameda,2024,11:00,71.3
Alameda,2024,12:00,71.5
Alameda,2024,13:00,71.2
Alameda,2024,14:00,70.9
Alameda,2024,15:00,70.8
Alameda,2024,16:00,70.8
Alameda,2024,17:00,71.3
Alameda,2024,18:00,70.8
Alameda,2024,19:00,70.8
Alameda,2024,20:00,70.9
Alameda,2024,21:00,70.6
Alameda,2024,22:00,70.5
Alameda,2024,23:00,69.6
Alameda,2025,00:00,68.3
Alameda,2025,01:00,66.9
Alameda,2025,02:00,65.6
Alameda,2025,03:00,65.1
Alameda,2025,04:00,65.5
Alameda,2025,05:00,66.6
Alameda,2025,06:00,68.6
Alameda,2025,07:00,70.1
Alameda,2025,08:00,70.5
Alameda,2025,09:00,70.5
Alameda,2025,10:00,70.9
Alameda,2025,11:00,71.3
Alameda,2025,12:00,71.3
Alameda,2025,13:00,70.7
Alameda,2025,14:00,71.5
Alameda,2025,15:00,70.8
Alameda,2025,16:00,71
Alameda,2025,17:00,71
Alameda,2025,18:00,70.7
Alameda,2025,19:00,70.9
Alameda,2025,20:00,71
Alameda,2025,21:00,71
Alameda,2025,22:00,70.3
Alameda,2025,23:00,70.7
Alameda Reemplazo,2024,00:00,58.3
Alameda Reemplazo,2024,01:00,56.4
Alameda Reemplazo,2024,02:00,57.2
Alameda Reemplazo,2024,03:00,53
Alameda Reemplazo,2024,04:00,53.6
Alameda Reemplazo,2024,05:00,56.6
Alameda Reemplazo,2024,06:00,60.2
Alameda Reemplazo,2024,07:00,62.3
Alameda Reemplazo,2024,08:00,64
Alameda Reemplazo,2024,09:00,63.8
Alameda Reemplazo,2024,10:00,63.6
Alameda Reemplazo,2024,11:00,75.8
Alameda Reemplazo,2024,12:00,62.4
Alameda Reemplazo,2024,13:00,65.1
Alameda Reemplazo,2024,14:00,62.3
Alameda Reemplazo,2024,15:00,65.8
Alameda Reemplazo,2024,16:00,70.6
Alameda Reemplazo,2024,17:00,76
Alameda Reemplazo,2024,18:00,63.6
Alameda Reemplazo,2024,19:00,66.1
Alameda Reemplazo,2024,20:00,63.1
Alameda Reemplazo,2024,21:00,61.6
Alameda Reemplazo,2024,22:00,64.8
Alameda Reemplazo,2024,23:00,61.1
Alvarez Viña del Mar,2023,00:00,67.5
Alvarez Viña del Mar,2023,01:00,66.6
Alvarez Viña del Mar,2023,02:00,65.1
Alvarez Viña del Mar,2023,03:00,64.2
Alvarez Viña del Mar,2023,04:00,64.1
Alvarez Viña del Mar,2023,05:00,64.9
Alvarez Viña del Mar,2023,06:00,67.5
Alvarez Viña del Mar,2023,07:00,68.7
Alvarez Viña del Mar,2023,08:00,68.8
Alvarez Viña del Mar,2023,09:00,69.4
Alvarez Viña del Mar,2023,10:00,69.5
Alvarez Viña del Mar,2023,11:00,69.2
Alvarez Viña del Mar,2023,12:00,69.3
Alvarez Viña del Mar,2023,13:00,69.4
Alvarez Viña del Mar,2023,14:00,69.5
Alvarez Viña del Mar,2023,15:00,69.4
Alvarez Viña del Mar,2023,16:00,69.3
Alvarez Viña del Mar,2023,17:00,69
Alvarez Viña del Mar,2023,18:00,69.2
Alvarez Viña del Mar,2023,19:00,69.4
Alvarez Viña del Mar,2023,20:00,69.4
Alvarez Viña del Mar,2023,21:00,69.4
Alvarez Viña del Mar,2023,22:00,69.2
Alvarez Viña del Mar,2023,23:00,68.3
Alvarez Viña del Mar,2024,00:00,67
Alvarez Viña del Mar,2024,01:00,65.7
Alvarez Viña del Mar,2024,02:00,64.6
Alvarez Viña del Mar,2024,03:00,63.8
Alvarez Viña del Mar,2024,04:00,63.3
Alvarez Viña del Mar,2024,05:00,64.6
Alvarez Viña del Mar,2024,06:00,67.8
Alvarez Viña del Mar,2024,07:00,69.5
Alvarez Viña del Mar,2024,08:00,69.8
Alvarez Viña del Mar,2024,09:00,69.9
Alvarez Viña del Mar,2024,10:00,69.7
Alvarez Viña del Mar,2024,11:00,69.6
Alvarez Viña del Mar,2024,12:00,69.6
Alvarez Viña del Mar,2024,13:00,69.5
Alvarez Viña del Mar,2024,14:00,69.7
Alvarez Viña del Mar,2024,15:00,69.8
Alvarez Viña del Mar,2024,16:00,69.7
Alvarez Viña del Mar,2024,17:00,69.8
Alvarez Viña del Mar,2024,18:00,69.8
